dexnum,name,generation,type1,type2,species,height,weight,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total,ev_yield,catch_rate,base_friendship,base_exp,growth_rate,egg_group1,egg_group2,percent_male,percent_female,egg_cycles,special_group
0127,Pinsir,1,Bug,,Stag Beetle Pokémon,1.5,55.0,Hyper Cutter,Mold Breaker,Moxie,65,125,100,55,70,85,500,2 Attack,45,50,175,Slow,Bug,,50.0,50.0,25,Ordinary
0128,Tauros,1,Normal,,Wild Bull Pokémon,1.4,88.4,Intimidate,Anger Point,Sheer Force,75,100,95,40,70,110,490,"1 Attack, 1 Speed",45,50,172,Slow,Field,,100.0,0.0,20,Ordinary
0129,Magikarp,1,Water,,Fish Pokémon,0.9,10.0,Swift Swim,Rattled,,20,10,55,15,20,80,200,1 Speed,255,50,40,Slow,Dragon ,Water 2,50.0,50.0,5,Ordinary
0130,Gyarados,1,Water,Flying,Atrocious Pokémon,6.5,235.0,Intimidate,Moxie,,95,125,79,60,100,81,540,2 Attack,45,50,189,Slow,Dragon ,Water 2,50.0,50.0,5,Ordinary
0131,Lapras,1,Water,Ice,Transport Pokémon,2.5,220.0,Water Absorb,Shell Armor,Hydration,130,85,80,85,95,60,535,2 HP,45,50,187,Slow,Monster ,Water 1,50.0,50.0,40,Ordinary
0132,Ditto,1,Normal,,Transform Pokémon,0.3,4.0,Limber,Imposter,,48,48,48,48,48,48,288,1 HP,35,50,101,Medium Fast,Ditto,,,,20,Ordinary
0133,Eevee,1,Normal,,Evolution Pokémon,0.3,6.5,Run Away,Adaptability,Anticipation,55,55,50,45,65,55,325,1 Sp. Def,45,50,65,Medium Fast,Field,,87.5,12.5,35,Ordinary
0134,Vaporeon,1,Water,,Bubble Jet Pokémon,1.0,29.0,Water Absorb,Hydration,,130,65,60,110,95,65,525,2 HP,45,50,184,Medium Fast,Field,,87.5,12.5,35,Ordinary
0135,Jolteon,1,Electric,,Lightning Pokémon,0.8,24.5,Volt Absorb,Quick Feet,,65,65,60,110,95,130,525,2 Speed,45,50,184,Medium Fast,Field,,87.5,12.5,35,Ordinary
0136,Flareon,1,Fire,,Flame Pokémon,0.9,25.0,Flash Fire,Guts,,65,130,60,95,110,65,525,2 Attack,45,50,184,Medium Fast,Field,,87.5,12.5,35,Ordinary
0137,Porygon,1,Normal,,Virtual Pokémon,0.8,36.5,Trace,Download,Analytic,65,60,70,85,75,40,395,1 Sp. Atk,45,50,79,Medium Fast,Mineral,,,,20,Ordinary
0138,Omanyte,1,Rock,Water,Spiral Pokémon,0.4,7.5,Swift Swim,Shell Armor,Weak Armor,35,40,100,90,55,35,355,1 Defense,45,50,71,Medium Fast,Water 1 ,Water 3,87.5,12.5,30,Fossil
0139,Omastar,1,Rock,Water,Spiral Pokémon,1.0,35.0,Swift Swim,Shell Armor,Weak Armor,70,60,125,115,70,55,495,2 Defense,45,50,173,Medium Fast,Water 1 ,Water 3,87.5,12.5,30,Fossil
0140,Kabuto,1,Rock,Water,Shellfish Pokémon,0.5,11.5,Swift Swim,Battle Armor,Weak Armor,30,80,90,55,45,55,355,1 Defense,45,50,71,Medium Fast,Water 1 ,Water 3,87.5,12.5,30,Fossil
0141,Kabutops,1,Rock,Water,Shellfish Pokémon,1.3,40.5,Swift Swim,Battle Armor,Weak Armor,60,115,105,65,70,80,495,2 Attack,45,50,173,Medium Fast,Water 1 ,Water 3,87.5,12.5,30,Fossil
0142,Aerodactyl,1,Rock,Flying,Fossil Pokémon,1.8,59.0,Rock Head,Pressure,Unnerve,80,105,65,60,75,130,515,2 Speed,45,50,180,Slow,Flying,,87.5,12.5,35,Fossil
0143,Snorlax,1,Normal,,Sleeping Pokémon,2.1,460.0,Immunity,Thick Fat,Gluttony,160,110,65,65,110,30,540,2 HP,25,50,189,Slow,Monster,,87.5,12.5,40,Ordinary
0144,Articuno,1,Ice,Flying,Freeze Pokémon,1.7,55.4,Pressure,Snow Cloak,,90,85,100,95,125,85,580,3 Sp. Def,3,35,290,Slow,Undiscovered,,,,80,Legendary
0145,Zapdos,1,Electric,Flying,Electric Pokémon,1.6,52.6,Pressure,Static,,90,90,85,125,90,100,580,3 Sp. Atk,3,35,290,Slow,Undiscovered,,,,80,Legendary
0146,Moltres,1,Fire,Flying,Flame Pokémon,2.0,60.0,Pressure,Flame Body,,90,100,90,125,85,90,580,3 Sp. Atk,3,35,290,Slow,Undiscovered,,,,80,Legendary
0147,Dratini,1,Dragon,,Dragon Pokémon,1.8,3.3,Shed Skin,Marvel Scale,,41,64,45,50,50,50,300,1 Attack,45,35,60,Slow,Dragon ,Water 1,50.0,50.0,40,Ordinary
0148,Dragonair,1,Dragon,,Dragon Pokémon,4.0,16.5,Shed Skin,Marvel Scale,,61,84,65,70,70,70,420,2 Attack,45,35,147,Slow,Dragon ,Water 1,50.0,50.0,40,Ordinary
0149,Dragonite,1,Dragon,Flying,Dragon Pokémon,2.2,210.0,Inner Focus,Multiscale,,91,134,95,100,100,80,600,3 Attack,45,35,300,Slow,Dragon ,Water 1,50.0,50.0,40,Ordinary
0150,Mewtwo,1,Psychic,,Genetic Pokémon,2.0,122.0,Pressure,Unnerve,,106,110,90,154,90,130,680,3 Sp. Atk,3,0,340,Slow,Undiscovered,,,,120,Legendary
0151,Mew,1,Psychic,,New Species Pokémon,0.4,4.0,Synchronize,,,100,100,100,100,100,100,600,3 HP,45,100,300,Medium Slow,Undiscovered,,,,120,Mythical
0152,Chikorita,2,Grass,,Leaf Pokémon,0.9,6.4,Overgrow,Leaf Guard,,45,49,65,49,65,45,318,1 Sp. Def,45,50,64,Medium Slow,Grass ,Monster,87.5,12.5,20,Ordinary
0153,Bayleef,2,Grass,,Leaf Pokémon,1.2,15.8,Overgrow,Leaf Guard,,60,62,80,63,80,60,405,"1 Defense, 1 Sp. Def",45,50,142,Medium Slow,Grass ,Monster,87.5,12.5,20,Ordinary
0154,Meganium,2,Grass,,Herb Pokémon,1.8,100.5,Overgrow,Leaf Guard,,80,82,100,83,100,80,525,"1 Defense, 2 Sp. Def",45,50,236,Medium Slow,Grass ,Monster,87.5,12.5,20,Ordinary
0155,Cyndaquil,2,Fire,,Fire Mouse Pokémon,0.5,7.9,Blaze,Flash Fire,,39,52,43,60,50,65,309,1 Speed,45,50,62,Medium Slow,Field,,87.5,12.5,20,Ordinary
0156,Quilava,2,Fire,,Volcano Pokémon,0.9,19.0,Blaze,Flash Fire,,58,64,58,80,65,80,405,"1 Sp. Atk, 1 Speed",45,50,142,Medium Slow,Field,,87.5,12.5,20,Ordinary
0157,Typhlosion,2,Fire,,Volcano Pokémon,1.7,79.5,Blaze,Flash Fire,,78,84,78,109,85,100,534,3 Sp. Atk,45,50,267,Medium Slow,Field,,87.5,12.5,20,Ordinary
0158,Totodile,2,Water,,Big Jaw Pokémon,0.6,9.5,Torrent,Sheer Force,,50,65,64,44,48,43,314,1 Attack,45,50,63,Medium Slow,Monster ,Water 1,87.5,12.5,20,Ordinary
0159,Croconaw,2,Water,,Big Jaw Pokémon,1.1,25.0,Torrent,Sheer Force,,65,80,80,59,63,58,405,"1 Attack, 1 Defense",45,50,142,Medium Slow,Monster ,Water 1,87.5,12.5,20,Ordinary
0160,Feraligatr,2,Water,,Big Jaw Pokémon,2.3,88.8,Torrent,Sheer Force,,85,105,100,79,83,78,530,"2 Attack, 1 Defense",45,50,239,Medium Slow,Monster ,Water 1,87.5,12.5,20,Ordinary
0161,Sentret,2,Normal,,Scout Pokémon,0.8,6.0,Run Away,Keen Eye,Frisk,35,46,34,35,45,20,215,1 Attack,255,50,43,Medium Fast,Field,,50.0,50.0,15,Ordinary
0162,Furret,2,Normal,,Long Body Pokémon,1.8,32.5,Run Away,Keen Eye,Frisk,85,76,64,45,55,90,415,2 Speed,90,50,145,Medium Fast,Field,,50.0,50.0,15,Ordinary
0163,Hoothoot,2,Normal,Flying,Owl Pokémon,0.7,21.2,Insomnia,Keen Eye,Tinted Lens,60,30,30,36,56,50,262,1 HP,255,50,52,Medium Fast,Flying,,50.0,50.0,15,Ordinary
0164,Noctowl,2,Normal,Flying,Owl Pokémon,1.6,40.8,Insomnia,Keen Eye,Tinted Lens,100,50,50,86,96,70,452,2 HP,90,50,158,Medium Fast,Flying,,50.0,50.0,15,Ordinary
0165,Ledyba,2,Bug,Flying,Five Star Pokémon,1.0,10.8,Swarm,Early Bird,Rattled,40,20,30,40,80,55,265,1 Sp. Def,255,50,53,Fast,Bug,,50.0,50.0,15,Ordinary
0166,Ledian,2,Bug,Flying,Five Star Pokémon,1.4,35.6,Swarm,Early Bird,Iron Fist,55,35,50,55,110,85,390,2 Sp. Def,90,50,137,Fast,Bug,,50.0,50.0,15,Ordinary
0167,Spinarak,2,Bug,Poison,String Spit Pokémon,0.5,8.5,Swarm,Insomnia,Sniper,40,60,40,40,40,30,250,1 Attack,255,50,50,Fast,Bug,,50.0,50.0,15,Ordinary
0168,Ariados,2,Bug,Poison,Long Leg Pokémon,1.1,33.5,Swarm,Insomnia,Sniper,70,90,70,60,70,40,400,2 Attack,90,50,140,Fast,Bug,,50.0,50.0,15,Ordinary
0169,Crobat,2,Poison,Flying,Bat Pokémon,1.8,75.0,Inner Focus,Infiltrator,,85,90,80,70,80,130,535,3 Speed,90,50,241,Medium Fast,Flying,,50.0,50.0,15,Ordinary
0170,Chinchou,2,Water,Electric,Angler Pokémon,0.5,12.0,Volt Absorb,Illuminate,Water Absorb,75,38,38,56,56,67,330,1 HP,190,50,66,Slow,Water 2,,50.0,50.0,20,Ordinary
0171,Lanturn,2,Water,Electric,Light Pokémon,1.2,22.5,Volt Absorb,Illuminate,Water Absorb,125,58,58,76,76,67,460,2 HP,75,50,161,Slow,Water 2,,50.0,50.0,20,Ordinary
0172,Pichu,2,Electric,,Tiny Mouse Pokémon,0.3,2.0,Static,Lightning Rod,,20,40,15,35,35,60,205,1 Speed,190,50,41,Medium Fast,Undiscovered,,50.0,50.0,10,Baby Pokemon
0173,Cleffa,2,Normal,,Star Shape Pokémon,0.3,3.0,Cute Charm,Magic Guard,Friend Guard,50,25,28,45,55,15,218,1 Sp. Def,150,140,44,Fast,Undiscovered,,25.0,75.0,10,Baby Pokemon
0174,Igglybuff,2,Normal,,Balloon Pokémon,0.3,1.0,Cute Charm,Competitive,Friend Guard,90,30,15,40,20,15,210,1 HP,170,50,42,Fast,Undiscovered,,25.0,75.0,10,Baby Pokemon
0175,Togepi,2,Normal,,Spike Ball Pokémon,0.3,1.5,Hustle,Serene Grace,Super Luck,35,20,65,40,65,20,245,1 Sp. Def,190,50,49,Fast,Undiscovered,,87.5,12.5,10,Baby Pokemon
0176,Togetic,2,Normal,Flying,Happiness Pokémon,0.6,3.2,Hustle,Serene Grace,Super Luck,55,40,85,80,105,40,405,2 Sp. Def,75,50,142,Fast,Fairy ,Flying,87.5,12.5,10,Ordinary
0177,Natu,2,Psychic,Flying,Tiny Bird Pokémon,0.2,2.0,Synchronize,Early Bird,Magic Bounce,40,50,45,70,45,70,320,1 Sp. Atk,190,50,64,Medium Fast,Flying,,50.0,50.0,20,Ordinary
0178,Xatu,2,Psychic,Flying,Mystic Pokémon,1.5,15.0,Synchronize,Early Bird,Magic Bounce,65,75,70,95,70,95,470,"1 Sp. Atk, 1 Speed",75,50,165,Medium Fast,Flying,,50.0,50.0,20,Ordinary
0179,Mareep,2,Electric,,Wool Pokémon,0.6,7.8,Static,Plus,,55,40,40,65,45,35,280,1 Sp. Atk,235,50,56,Medium Slow,Field ,Monster,50.0,50.0,20,Ordinary
0180,Flaaffy,2,Electric,,Wool Pokémon,0.8,13.3,Static,Plus,,70,55,55,80,60,45,365,2 Sp. Atk,120,50,128,Medium Slow,Field ,Monster,50.0,50.0,20,Ordinary
0181,Ampharos,2,Electric,,Light Pokémon,1.4,61.5,Static,Plus,,90,75,85,115,90,55,510,3 Sp. Atk,45,50,255,Medium Slow,Field ,Monster,50.0,50.0,20,Ordinary
0182,Bellossom,2,Grass,,Flower Pokémon,0.4,5.8,Chlorophyll,Healer,,75,80,95,90,100,50,490,3 Sp. Def,45,50,221,Medium Slow,Grass,,50.0,50.0,20,Ordinary
0183,Marill,2,Water,,Aqua Mouse Pokémon,0.4,8.5,Thick Fat,Huge Power,Sap Sipper,70,20,50,20,50,40,250,2 HP,190,50,88,Fast,Fairy ,Water 1,50.0,50.0,10,Ordinary
0184,Azumarill,2,Water,,Aqua Rabbit Pokémon,0.8,28.5,Thick Fat,Huge Power,Sap Sipper,100,50,80,60,80,50,420,3 HP,75,50,210,Fast,Fairy ,Water 1,50.0,50.0,10,Ordinary
0185,Sudowoodo,2,Rock,,Imitation Pokémon,1.2,38.0,Sturdy,Rock Head,Rattled,70,100,115,30,65,30,410,2 Defense,65,50,144,Medium Fast,Mineral,,50.0,50.0,20,Ordinary
0186,Politoed,2,Water,,Frog Pokémon,1.1,33.9,Water Absorb,Damp,Drizzle,90,75,75,90,100,70,500,3 Sp. Def,45,50,225,Medium Slow,Water 1,,50.0,50.0,20,Ordinary
0187,Hoppip,2,Grass,Flying,Cottonweed Pokémon,0.4,0.5,Chlorophyll,Leaf Guard,Infiltrator,35,35,40,35,55,50,250,1 Sp. Def,255,50,50,Medium Slow,Fairy ,Grass,50.0,50.0,20,Ordinary
0188,Skiploom,2,Grass,Flying,Cottonweed Pokémon,0.6,1.0,Chlorophyll,Leaf Guard,Infiltrator,55,45,50,45,65,80,340,2 Speed,120,50,119,Medium Slow,Fairy ,Grass,50.0,50.0,20,Ordinary
0189,Jumpluff,2,Grass,Flying,Cottonweed Pokémon,0.8,3.0,Chlorophyll,Leaf Guard,Infiltrator,75,55,70,55,95,110,460,3 Speed,45,50,230,Medium Slow,Fairy ,Grass,50.0,50.0,20,Ordinary
0190,Aipom,2,Normal,,Long Tail Pokémon,0.8,11.5,Run Away,Pickup,Skill Link,55,70,55,40,55,85,360,1 Speed,45,50,72,Fast,Field,,50.0,50.0,20,Ordinary
0191,Sunkern,2,Grass,,Seed Pokémon,0.3,1.8,Chlorophyll,Solar Power,Early Bird,30,30,30,30,30,30,180,1 Sp. Atk,235,50,36,Medium Slow,Grass,,50.0,50.0,20,Ordinary
0192,Sunflora,2,Grass,,Sun Pokémon,0.8,8.5,Chlorophyll,Solar Power,Early Bird,75,75,55,105,85,30,425,2 Sp. Atk,120,50,149,Medium Slow,Grass,,50.0,50.0,20,Ordinary
0193,Yanma,2,Bug,Flying,Clear Wing Pokémon,1.2,38.0,Speed Boost,Compound Eyes,Frisk,65,65,45,75,45,95,390,1 Speed,75,50,78,Medium Fast,Bug,,50.0,50.0,20,Ordinary
0194,Wooper,2,Water,Ground,Water Fish Pokémon,0.4,8.5,Damp,Water Absorb,Unaware,55,45,45,25,25,15,210,1 HP,255,50,42,Medium Fast,Field ,Water 1,50.0,50.0,20,Ordinary
0195,Quagsire,2,Water,Ground,Water Fish Pokémon,1.4,75.0,Damp,Water Absorb,Unaware,95,85,85,65,65,35,430,2 HP,90,50,151,Medium Fast,Field ,Water 1,50.0,50.0,20,Ordinary
0196,Espeon,2,Psychic,,Sun Pokémon,0.9,26.5,Synchronize,Magic Bounce,,65,65,60,130,95,110,525,2 Sp. Atk,45,50,184,Medium Fast,Field,,87.5,12.5,35,Ordinary
0197,Umbreon,2,Dark,,Moonlight Pokémon,1.0,27.0,Synchronize,Inner Focus,,95,65,110,60,130,65,525,2 Sp. Def,45,35,184,Medium Fast,Field,,87.5,12.5,35,Ordinary
0198,Murkrow,2,Dark,Flying,Darkness Pokémon,0.5,2.1,Insomnia,Super Luck,Prankster,60,85,42,85,42,91,405,1 Speed,30,35,81,Medium Slow,Flying,,50.0,50.0,20,Ordinary
0199,Slowking,2,Water,Psychic,Royal Pokémon,2.0,79.5,Oblivious,Own Tempo,Regenerator,95,75,80,100,110,30,490,2 Sp. Def,70,50,172,Medium Fast,Monster ,Water 1,50.0,50.0,20,Ordinary
0200,Misdreavus,2,Ghost,,Screech Pokémon,0.7,1.0,Levitate,,,60,60,60,85,85,85,435,1 Sp. Def,45,35,87,Fast,Amorphous,,50.0,50.0,25,Ordinary
0201,Unown,2,Psychic,,Symbol Pokémon,0.5,5.0,Levitate,,,48,72,48,72,48,48,336,"1 Attack, 1 Sp. Atk",225,50,118,Medium Fast,Undiscovered,,,,40,Ordinary
0202,Wobbuffet,2,Psychic,,Patient Pokémon,1.3,28.5,Shadow Tag,Telepathy,,190,33,58,33,58,33,405,2 HP,45,50,142,Medium Fast,Amorphous,,50.0,50.0,20,Ordinary
0203,Girafarig,2,Normal,Psychic,Long Neck Pokémon,1.5,41.5,Inner Focus,Early Bird,Sap Sipper,70,80,65,90,65,85,455,2 Sp. Atk,60,50,159,Medium Fast,Field,,50.0,50.0,20,Ordinary
0204,Pineco,2,Bug,,Bagworm Pokémon,0.6,7.2,Sturdy,Overcoat,,50,65,90,35,35,15,290,1 Defense,190,50,58,Medium Fast,Bug,,50.0,50.0,20,Ordinary
0205,Forretress,2,Bug,Steel,Bagworm Pokémon,1.2,125.8,Sturdy,Overcoat,,75,90,140,60,60,40,465,2 Defense,75,50,163,Medium Fast,Bug,,50.0,50.0,20,Ordinary
0206,Dunsparce,2,Normal,,Land Snake Pokémon,1.5,14.0,Serene Grace,Run Away,Rattled,100,70,70,65,65,45,415,1 HP,190,50,145,Medium Fast,Field,,50.0,50.0,20,Ordinary
0207,Gligar,2,Ground,Flying,FlyScorpion Pokémon,1.1,64.8,Hyper Cutter,Sand Veil,Immunity,65,75,105,35,65,85,430,1 Defense,60,50,86,Medium Slow,Bug,,50.0,50.0,20,Ordinary
0208,Steelix,2,Steel,Ground,Iron Snake Pokémon,9.2,400.0,Rock Head,Sturdy,Sheer Force,75,85,200,55,65,30,510,2 Defense,25,50,179,Medium Fast,Mineral,,50.0,50.0,25,Ordinary
0209,Snubbull,2,Normal,,Fairy Pokémon,0.6,7.8,Intimidate,Run Away,Rattled,60,80,50,40,40,30,300,1 Attack,190,50,60,Fast,Fairy ,Field,25.0,75.0,20,Ordinary
0210,Granbull,2,Normal,,Fairy Pokémon,1.4,48.7,Intimidate,Quick Feet,Rattled,90,120,75,60,60,45,450,2 Attack,75,50,158,Fast,Fairy ,Field,25.0,75.0,20,Ordinary
0211,Qwilfish,2,Water,Poison,Balloon Pokémon,0.5,3.9,Poison Point,Swift Swim,Intimidate,65,95,85,55,55,85,440,1 Attack,45,50,88,Medium Fast,Water 2,,50.0,50.0,20,Ordinary
0212,Scizor,2,Bug,Steel,Pincer Pokémon,1.8,118.0,Swarm,Technician,Light Metal,70,130,100,55,80,65,500,2 Attack,25,50,175,Medium Fast,Bug,,50.0,50.0,25,Ordinary
0213,Shuckle,2,Bug,Rock,Mold Pokémon,0.6,20.5,Sturdy,Gluttony,Contrary,20,10,230,10,230,5,505,"1 Defense, 1 Sp. Def",190,50,177,Medium Slow,Bug,,50.0,50.0,20,Ordinary
0214,Heracross,2,Bug,Fighting,Single Horn Pokémon,1.5,54.0,Swarm,Guts,Moxie,80,125,75,40,95,85,500,2 Attack,45,50,175,Slow,Bug,,50.0,50.0,25,Ordinary
0215,Sneasel,2,Dark,Ice,Sharp Claw Pokémon,0.9,28.0,Inner Focus,Keen Eye,Pickpocket,55,95,55,35,75,115,430,1 Speed,60,35,86,Medium Slow,Field,,50.0,50.0,20,Ordinary
0216,Teddiursa,2,Normal,,Little Bear Pokémon,0.6,8.8,Pickup,Quick Feet,Honey Gather,60,80,50,50,50,40,330,1 Attack,120,50,66,Medium Fast,Field,,50.0,50.0,20,Ordinary
0217,Ursaring,2,Normal,,Hibernator Pokémon,1.8,125.8,Guts,Quick Feet,Unnerve,90,130,75,75,75,55,500,2 Attack,60,50,175,Medium Fast,Field,,50.0,50.0,20,Ordinary
0218,Slugma,2,Fire,,Lava Pokémon,0.7,35.0,Magma Armor,Flame Body,Weak Armor,40,40,40,70,40,20,250,1 Sp. Atk,190,50,50,Medium Fast,Amorphous,,50.0,50.0,20,Ordinary
0219,Magcargo,2,Fire,Rock,Lava Pokémon,0.8,55.0,Magma Armor,Flame Body,Weak Armor,60,50,120,90,80,30,430,2 Defense,75,50,151,Medium Fast,Amorphous,,50.0,50.0,20,Ordinary
0220,Swinub,2,Ice,Ground,Pig Pokémon,0.4,6.5,Oblivious,Snow Cloak,Thick Fat,50,50,40,30,30,50,250,1 Attack,225,50,50,Slow,Field,,50.0,50.0,20,Ordinary
0221,Piloswine,2,Ice,Ground,Swine Pokémon,1.1,55.8,Oblivious,Snow Cloak,Thick Fat,100,100,80,60,60,50,450,"1 HP, 1 Attack",75,50,158,Slow,Field,,50.0,50.0,20,Ordinary
0222,Corsola,2,Water,Rock,Coral Pokémon,0.6,5.0,Hustle,Natural Cure,Regenerator,65,55,95,65,95,35,410,"1 Defense, 1 Sp. Def",60,50,144,Fast,Water 1 ,Water 3,25.0,75.0,20,Ordinary
0223,Remoraid,2,Water,,Jet Pokémon,0.6,12.0,Hustle,Sniper,Moody,35,65,35,65,35,65,300,1 Sp. Atk,190,50,60,Medium Fast,Water 1 ,Water 2,50.0,50.0,20,Ordinary
0224,Octillery,2,Water,,Jet Pokémon,0.9,28.5,Suction Cups,Sniper,Moody,75,105,75,105,75,45,480,"1 Attack, 1 Sp. Atk",75,50,168,Medium Fast,Water 1 ,Water 2,50.0,50.0,20,Ordinary
0225,Delibird,2,Ice,Flying,Delivery Pokémon,0.9,16.0,Vital Spirit,Hustle,Insomnia,45,55,45,65,45,75,330,1 Speed,45,50,116,Fast,Field ,Water 1,50.0,50.0,20,Ordinary
0226,Mantine,2,Water,Flying,Kite Pokémon,2.1,220.0,Swift Swim,Water Absorb,Water Veil,85,40,70,80,140,70,485,2 Sp. Def,25,50,170,Slow,Water 1,,50.0,50.0,25,Ordinary
0227,Skarmory,2,Steel,Flying,Armor Bird Pokémon,1.7,50.5,Keen Eye,Sturdy,Weak Armor,65,80,140,40,70,70,465,2 Defense,25,50,163,Slow,Flying,,50.0,50.0,25,Ordinary
0228,Houndour,2,Dark,Fire,Dark Pokémon,0.6,10.8,Early Bird,Flash Fire,Unnerve,45,60,30,80,50,65,330,1 Sp. Atk,120,35,66,Slow,Field,,50.0,50.0,20,Ordinary
0229,Houndoom,2,Dark,Fire,Dark Pokémon,1.4,35.0,Early Bird,Flash Fire,Unnerve,75,90,50,110,80,95,500,2 Sp. Atk,45,35,175,Slow,Field,,50.0,50.0,20,Ordinary
0230,Kingdra,2,Water,Dragon,Dragon Pokémon,1.8,152.0,Swift Swim,Sniper,Damp,75,95,95,95,95,85,540,"1 Attack, 1 Sp. Atk, 1 Sp. Def",45,50,243,Medium Fast,Dragon ,Water 1,50.0,50.0,20,Ordinary
0231,Phanpy,2,Ground,,Long Nose Pokémon,0.5,33.5,Pickup,Sand Veil,,90,60,60,40,40,40,330,1 HP,120,50,66,Medium Fast,Field,,50.0,50.0,20,Ordinary
0232,Donphan,2,Ground,,Armor Pokémon,1.1,120.0,Sturdy,Sand Veil,,90,120,120,60,60,50,500,"1 Attack, 1 Defense",60,50,175,Medium Fast,Field,,50.0,50.0,20,Ordinary
0233,Porygon2,2,Normal,,Virtual Pokémon,0.6,32.5,Trace,Download,Analytic,85,80,90,105,95,60,515,2 Sp. Atk,45,50,180,Medium Fast,Mineral,,,,20,Ordinary
0234,Stantler,2,Normal,,Big Horn Pokémon,1.4,71.2,Intimidate,Frisk,Sap Sipper,73,95,62,85,65,85,465,1 Attack,45,50,163,Slow,Field,,50.0,50.0,20,Ordinary
0235,Smeargle,2,Normal,,Painter Pokémon,1.2,58.0,Own Tempo,Technician,Moody,55,20,35,20,45,75,250,1 Speed,45,50,88,Fast,Field,,50.0,50.0,20,Ordinary
0236,Tyrogue,2,Fighting,,Scuffle Pokémon,0.7,21.0,Guts,Steadfast,Vital Spirit,35,35,35,35,35,35,210,1 Attack,75,50,42,Medium Fast,Undiscovered,,100.0,0.0,25,Baby Pokemon
0237,Hitmontop,2,Fighting,,Handstand Pokémon,1.4,48.0,Intimidate,Technician,Steadfast,50,95,95,35,110,70,455,2 Sp. Def,45,50,159,Medium Fast,Human-Like,,100.0,0.0,25,Ordinary
0238,Smoochum,2,Ice,Psychic,Kiss Pokémon,0.4,6.0,Oblivious,Forewarn,Hydration,45,30,15,85,65,65,305,1 Sp. Atk,45,50,61,Medium Fast,Undiscovered,,0.0,100.0,25,Baby Pokemon
0239,Elekid,2,Electric,,Electric Pokémon,0.6,23.5,Static,Vital Spirit,,45,63,37,65,55,95,360,1 Speed,45,50,72,Medium Fast,Undiscovered,,75.0,25.0,25,Baby Pokemon
0240,Magby,2,Fire,,Live Coal Pokémon,0.7,21.4,Flame Body,Vital Spirit,,45,75,37,70,55,83,365,1 Speed,45,50,73,Medium Fast,Undiscovered,,75.0,25.0,25,Baby Pokemon
0241,Miltank,2,Normal,,Milk Cow Pokémon,1.2,75.5,Thick Fat,Scrappy,Sap Sipper,95,80,105,40,70,100,490,2 Defense,45,50,172,Slow,Field,,0.0,100.0,20,Ordinary
0242,Blissey,2,Normal,,Happiness Pokémon,1.5,46.8,Natural Cure,Serene Grace,Healer,255,10,10,75,135,55,540,3 HP,30,140,635,Fast,Fairy,,0.0,100.0,40,Ordinary
0243,Raikou,2,Electric,,Thunder Pokémon,1.9,178.0,Pressure,Inner Focus,,90,85,75,115,100,115,580,"1 Sp. Atk, 2 Speed",3,35,261,Slow,Undiscovered,,,,80,Legendary
0244,Entei,2,Fire,,Volcano Pokémon,2.1,198.0,Pressure,Inner Focus,,115,115,85,90,75,100,580,"1 HP, 2 Attack",3,35,261,Slow,Undiscovered,,,,80,Legendary
0245,Suicune,2,Water,,Aurora Pokémon,2.0,187.0,Pressure,Inner Focus,,100,75,115,90,115,85,580,"1 Defense, 2 Sp. Def",3,35,261,Slow,Undiscovered,,,,80,Legendary
0246,Larvitar,2,Rock,Ground,Rock Skin Pokémon,0.6,72.0,Guts,Sand Veil,,50,64,50,45,50,41,300,1 Attack,45,35,60,Slow,Monster,,50.0,50.0,40,Ordinary
0247,Pupitar,2,Rock,Ground,Hard Shell Pokémon,1.2,152.0,Shed Skin,,,70,84,70,65,70,51,410,2 Attack,45,35,144,Slow,Monster,,50.0,50.0,40,Ordinary
0248,Tyranitar,2,Rock,Dark,Armor Pokémon,2.0,202.0,Sand Stream,Unnerve,,100,134,110,95,100,61,600,3 Attack,45,35,300,Slow,Monster,,50.0,50.0,40,Ordinary
0249,Lugia,2,Psychic,Flying,Diving Pokémon,5.2,216.0,Pressure,Multiscale,,106,90,130,90,154,110,680,3 Sp. Def,3,0,306,Slow,Undiscovered,,,,120,Legendary
0250,Ho-oh,2,Fire,Flying,Rainbow Pokémon,3.8,199.0,Pressure,Regenerator,,106,130,90,110,154,90,680,3 Sp. Def,3,0,306,Slow,Undiscovered,,,,120,Ordinary
0251,Celebi,2,Psychic,Grass,Time Travel Pokémon,0.6,5.0,Natural Cure,,,100,100,100,100,100,100,600,3 HP,45,100,270,Medium Slow,Undiscovered,,,,120,Mythical
0252,Treecko,3,Grass,,Wood Gecko Pokémon,0.5,5.0,Overgrow,Unburden,,40,45,35,65,55,70,310,1 Speed,45,50,62,Medium Slow,Dragon ,Monster,87.5,12.5,20,Ordinary
0253,Grovyle,3,Grass,,Wood Gecko Pokémon,0.9,21.6,Overgrow,Unburden,,50,65,45,85,65,95,405,2 Speed,45,50,142,Medium Slow,Dragon ,Monster,87.5,12.5,20,Ordinary
0254,Sceptile,3,Grass,,Forest Pokémon,1.7,52.2,Overgrow,Unburden,,70,85,65,105,85,120,530,3 Speed,45,50,239,Medium Slow,Dragon ,Monster,87.5,12.5,20,Ordinary
